Output
----------------------------------------
City Weight : 14608512 | City Name : Shanghai | City Country : China
City Weight : 1333973 | City Name : Shantou | City Country : China
City Weight : 770000 | City Name : Shangyu | City Country : China
City Weight : 628749 | City Name : Shaoguan | City Country : China
City Weight : 543733 | City Name : Sharjah | City Country : United Arab Emirates
City Weight : 498780 | City Name : Shashi | City Country : China
City Weight : 481654 | City Name : Shah Alam | City Country : Malaysia
City Weight : 421283 | City Name : Shaoxing | City Country : China
City Weight : 320434 | City Name : Shahjahanpur | City Country : India
City Weight : 318769 | City Name : Shangrao | City Country : China
City Weight : 303282 | City Name : Mazar-e Sharif | City Country : Afghanistan
City Weight : 277334 | City Name : Khomeyni Shahr | City Country : Iran
City Weight : 255396 | City Name : Shari-i-Tajan | City Country : Iran
City Weight : 244230 | City Name : Bihar Sharif | City Country : India
City Weight : 221312 | City Name : Shakhty | City Country : Russia
City Weight : 214558 | City Name : Shagamu | City Country : Nigeria
City Weight : 181218 | City Name : Shangqiu | City Country : China
City Weight : 165699 | City Name : Shanwei | City Country : China
City Weight : 149983 | City Name : Shantipur | City Country : India
City Weight : 143970 | City Name : Kafr ash Shaykh | City Country : Egypt
City Weight : 131889 | City Name : Shahrud | City Country : Iran
City Weight : 129153 | City Name : Shahr-e Kord | City Country : Iran
City Weight : 125132 | City Name : Shahecheng | City Country : China
City Weight : 112585 | City Name : Shaowu | City Country : China
City Weight : 107589 | City Name : Shaping | City Country : China
City Weight : 102420 | City Name : Shahzadpur | City Country : Bangladesh
City Weight : 100790 | City Name : Shahre?a | City Country : Iran
City Weight : 97966 | City Name : Shamli | City Country : India
City Weight : 89289 | City Name : Shahdol | City Country : India
City Weight : 85871 | City Name : Shashemene | City Country : Ethiopia
City Weight : 82732 | City Name : Ash Shatrah | City Country : Iraq
City Weight : 82509 | City Name : Shache | City Country : China
City Weight : 82419 | City Name : Shangzhi | City Country : China
City Weight : 80843 | City Name : Shanting | City Country : China
City Weight : 79479 | City Name : Shadrinsk | City Country : Russia
City Weight : 75814 | City Name : Kamensk-Shakhtinskiy | City Country : Russia
City Weight : 75411 | City Name : Shahdadkot | City Country : Pakistan
City Weight : 75233 | City Name : Shangmei | City Country : China
City Weight : 74459 | City Name : Shancheng | City Country : China
City Weight : 73606 | City Name : Shahabad | City Country : India
City Weight : 71700 | City Name : Shakhtërsk | City Country : Ukraine
City Weight : 67249 | City Name : Shahdadpur | City Country : Pakistan
City Weight : 66541 | City Name : Shabqadar | City Country : Pakistan
City Weight : 64966 | City Name : Chust Shahri | City Country : Uzbekistan
City Weight : 64304 | City Name : Shakargarr | City Country : Pakistan
City Weight : 62209 | City Name : Shawnee | City Country : Kansas
City Weight : 58849 | City Name : Shahriar | City Country : Iran
City Weight : 58402 | City Name : Shahada | City Country : India
City Weight : 57661 | City Name : Ash Shamiyah | City Country : Iraq
City Weight : 57550 | City Name : Shanhetun | City Country : China
City Weight : 57051 | City Name : Shahrisabz | City Country : Uzbekistan
City Weight : 53346 | City Name : Shajapur | City Country : India
City Weight : 52409 | City Name : Shahr-e Babak | City Country : Iran
